                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.838,                 3.4993,                 1.8179,                  1.661,                 5.2639,                 1.6446,                0.00499,                0.41952,                0.05651,                0.02796,                 1.7861,                 3.7226,                 1.9191,                 1.6392,                 6.9246,                 1.7288,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 1.8893,                 3.4581,                 1.9078,                 1.6761,                 5.2992,                 1.6899,                0.00979,                0.43154,                0.06904,                0.03545,                 1.7391,                 3.7196,                 1.8683,                  1.572,                 6.9094,                 1.7224,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 1.6824,                 3.3761,                 1.6928,                 1.5419,                 5.0839,                 1.5558,                0.01546,                0.41511,                0.11929,                0.06829,                 1.4862,                 3.6579,                 1.6688,                 1.3448,                 6.7245,                 1.5567,             0.00010979,             0.00010979,             0.00010979
                      4,                 1.5436,                 3.1227,                 1.5809,                  1.355,                 4.6395,                  1.441,                0.01219,                0.51346,                0.14219,                0.08084,                 1.4112,                  3.602,                  1.541,                  1.202,                 6.5906,                 1.4126,             0.00014785,             0.00014785,             0.00014785
                      5,                 1.5512,                  2.751,                 1.5155,                 1.4055,                 4.2497,                 1.3882,                0.01015,                0.55076,                0.11616,                0.06638,                 1.3652,                 3.5508,                 1.4465,                 1.2332,                 6.5781,                  1.353,             0.00018422,             0.00018422,             0.00018422
                      6,                 1.5523,                 2.4217,                 1.5372,                 1.4238,                 4.1015,                 1.4266,                0.01135,                0.59274,                0.10881,                0.06309,                 1.4394,                  3.527,                  1.471,                 1.2448,                 6.5541,                  1.343,             0.00021888,             0.00021888,             0.00021888
                      7,                 1.5201,                 2.2919,                  1.518,                 1.3799,                 4.2611,                 1.4039,                0.01254,                0.61358,                0.10254,                0.05678,                 1.4824,                 3.5589,                 1.5043,                 1.2274,                 6.5129,                  1.347,             0.00025185,             0.00025185,             0.00025185
                      8,                  1.561,                 2.1044,                 1.5469,                 1.3844,                  4.273,                 1.3935,                0.01204,                0.63647,                 0.1061,                0.05982,                 1.4151,                 3.5207,                 1.4577,                 1.2432,                 6.4989,                 1.3385,             0.00028312,             0.00028312,             0.00028312
                      9,                 1.5769,                 1.9445,                 1.5423,                 1.3429,                 3.7916,                 1.3718,                0.01096,                0.63676,                0.11844,                0.06384,                 1.5694,                 3.5286,                 1.6331,                 1.3098,                 6.5694,                 1.4491,             0.00031269,             0.00031269,             0.00031269
                     10,                 1.5434,                 1.8611,                 1.4771,                 1.3695,                 3.8623,                  1.337,                0.01037,                0.69958,                0.12952,                 0.0689,                 1.6048,                 3.4829,                 1.5719,                  1.371,                 6.5592,                 1.4365,             0.00034056,             0.00034056,             0.00034056
